alpha,beta,avg_puzzle_gen_time,avg_solve_time,avg_feasible_murderers,avg_domain_size,avg_direct_clues,avg_indirect_positive,avg_indirect_negative
0.0,0.0,1.9588789750356228,8.765016682446002e-05,5.0,207.2,0.7066666666666667,0.0,0.29333333333333333
0.0,0.2,2.2220713873859497,0.00012597902677953244,4.9,177.5,0.6766666666666666,0.22666666666666666,0.09666666666666665
0.0,0.4,1.9837290667463094,0.00015916251577436925,4.7,163.4,0.5399999999999999,0.41,0.05
0.0,0.6,1.7265822915825992,0.00019293320365250112,5.0,178.1,0.4,0.5700000000000001,0.03
0.0,0.8,0.9502450499217957,0.0002359208185225725,5.0,198.8,0.18333333333333332,0.8166666666666668,0.0
0.0,1.0,0.10205525406636298,6.334991194307804e-05,5.0,246.0,0.0,1.0,0.0
0.2,0.0,1.0377850878052413,7.634982466697693e-05,1.3,170.0,0.8437280366692133,0.0,0.15627196333078686
0.2,0.2,0.9245717874262482,8.452902548015118e-05,1.1,157.1,0.7604407408448328,0.09684174137882577,0.1427175177763413
0.2,0.4,0.6887722831219435,9.804153814911843e-05,1.1,154.3,0.5906594967976042,0.34707019039499853,0.06227031280739721
0.2,0.6,0.6345307372976094,0.00011088736355304717,1.1,148.9,0.5283583959899749,0.4591416040100251,0.0125
0.2,0.8,0.5056326001882553,0.0001236582174897194,1.7,157.1,0.34974811463046757,0.6502518853695325,0.0
0.2,1.0,0.25722800837829707,0.00014089979231357574,1.9,104.2,0.20164373307851569,0.7983562669214843,0.0
0.4,0.0,0.6600917041767389,7.359180599451066e-05,1.3,174.6,0.8134188034188033,0.0,0.1865811965811966
0.4,0.2,0.4592265748418868,8.110413327813148e-05,1.0,154.6,0.7146832824038707,0.1656070155334861,0.11970970206264324
0.4,0.4,0.6522767997346819,9.393738582730293e-05,1.0,128.1,0.7461305361305361,0.20466200466200468,0.04920745920745921
0.4,0.6,0.43784764162264767,8.804984390735626e-05,0.9,145.6,0.6117156243576122,0.3562553341407297,0.03202904150165813
0.4,0.8,0.36735667078755796,0.00010135839693248272,1.0,116.6,0.5572374051069703,0.4242123303427651,0.01855026455026455
0.4,1.0,0.19186093346215785,0.00010041664354503155,1.0,98.9,0.4719397993311037,0.5280602006688964,0.0
0.6,0.0,0.30154140004888175,6.053335964679718e-05,1.0,177.8,0.9413983488132095,0.0,0.058601651186790504
0.6,0.2,0.45020719156600536,7.759593427181244e-05,0.9,149.7,0.8361148272017838,0.07509476031215162,0.08879041248606466
0.6,0.4,0.3743492748122662,7.392917759716511e-05,1.0,143.9,0.7311095744462884,0.16271559407462044,0.10617483147909113
0.6,0.6,0.34012977476231754,8.408348076045513e-05,1.0,129.2,0.6967796696057565,0.28534154251545557,0.017878787878787876
0.6,0.8,0.23848333731293678,7.702922448515892e-05,0.9,136.3,0.6343020541549953,0.34111461251167136,0.024583333333333332
0.6,1.0,0.18555689170025289,8.133770897984504e-05,1.0,125.0,0.6995310245310244,0.30046897546897544,0.0
0.8,0.0,0.2091044418513775,4.900805652141571e-05,1.0,170.6,0.9654390054390054,0.0,0.03456099456099456
0.8,0.2,0.23815420833416284,6.0020852833986284e-05,1.0,155.5,0.9096056721056721,0.042414529914529916,0.047979797979797977
0.8,0.4,0.2185630293097347,5.953325890004635e-05,1.0,151.6,0.9005844155844155,0.09032467532467532,0.00909090909090909
0.8,0.6,0.2809031918179244,7.817498408257961e-05,1.0,130.5,0.8522613660848956,0.14389248006895067,0.0038461538461538464
0.8,0.8,0.2173726750537753,6.103767082095146e-05,1.0,140.8,0.9185236562953953,0.0725830630721935,0.008893280632411068
0.8,1.0,0.27350003328174355,8.218316361308098e-05,1.2,120.9,0.7639843773890961,0.2360156226109039,0.0
1.0,0.0,0.1476415373850614,4.382911138236523e-05,1.0,153.0,1.0,0.0,0.0
1.0,0.2,0.13401400838047267,4.304577596485615e-05,1.0,160.7,1.0,0.0,0.0
1.0,0.4,0.11484519988298417,4.240819253027439e-05,1.1,174.6,1.0,0.0,0.0
1.0,0.6,0.1510565248783678,4.5458134263753894e-05,1.0,159.6,1.0,0.0,0.0
1.0,0.8,0.15681800842285157,5.907495506107807e-05,1.0,151.8,1.0,0.0,0.0
1.0,1.0,0.15967537914402782,5.1346095278859136e-05,1.0,160.2,1.0,0.0,0.0
